year,mo,da,temp,dewp,visib,wdsp,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
1973,09,25,62.0,55.3,7.9,9.1,0.01,0,1,0,0,0,0
1973,09,26,62.7,53.9,11.0,4.4,0.0,1,0,0,0,0,0
1973,09,27,68.3,58.7,10.8,7.6,0.0,0,0,0,0,0,0
1973,09,28,74.1,60.2,9.7,7.5,0.0,0,0,0,0,0,0
1973,09,29,70.3,59.6,9.5,6.1,1.3,1,1,0,0,0,0
1973,09,30,65.3,42.9,19.9,8.3,0.0,0,0,0,0,0,0
1973,10,01,62.1,46.8,16.4,5.7,0.0,0,0,0,0,0,0
1973,10,02,68.3,59.6,13.6,7.9,0.0,0,1,0,0,0,0
1973,10,03,73.6,64.9,9.1,6.3,0.16,1,1,0,0,0,0
1973,10,04,72.2,60.0,8.4,5.6,0.0,1,0,0,0,0,0
1973,10,05,73.9,58.6,9.1,9.0,0.0,0,0,0,0,0,0
1973,10,06,63.1,41.9,19.9,8.7,0.0,0,0,0,0,0,0
1973,10,07,62.1,46.2,19.7,5.1,0.0,0,0,0,0,0,0
1973,10,08,64.2,52.1,11.1,5.2,0.0,0,0,0,0,0,0
1973,10,09,65.3,55.8,8.7,4.3,0.0,1,0,0,0,0,0
1973,10,10,66.8,52.5,10.7,6.5,0.0,0,0,0,0,0,0
1973,10,11,57.6,45.2,9.5,8.8,0.0,0,0,0,0,0,0
1973,10,12,59.1,49.5,7.1,7.0,0.0,1,0,0,0,0,0
1973,10,13,63.0,55.3,4.9,8.5,0.0,1,0,0,0,0,0
1973,10,14,67.2,47.3,13.9,13.3,0.01,0,1,0,0,0,0
1973,10,15,62.7,41.9,19.1,10.5,0.0,0,0,0,0,0,0
1973,10,16,60.7,35.5,19.1,11.4,0.0,0,0,0,0,0,0
1973,10,17,50.8,34.4,19.9,9.8,0.0,0,0,0,0,0,0
1973,10,18,49.0,37.4,14.1,9.1,0.0,0,0,0,0,0,0
1973,10,19,49.8,35.1,17.0,8.0,0.0,0,0,0,0,0,0
1973,10,20,56.4,42.6,15.6,9.5,0.0,0,0,0,0,0,0
1973,10,21,54.9,40.7,14.4,7.4,0.0,0,0,0,0,0,0
1973,10,22,54.3,42.1,8.0,4.6,0.0,1,0,0,0,0,0
1973,10,23,56.0,45.8,6.5,6.1,0.0,1,0,0,0,0,0
1973,10,24,59.4,49.7,3.3,4.3,0.0,1,0,0,0,0,0
1973,10,25,59.0,47.1,5.5,8.1,0.0,1,0,0,0,0,0
1973,10,26,61.3,48.2,9.4,10.3,0.0,0,0,0,0,0,0
1973,10,27,61.5,42.0,19.9,10.5,0.0,0,0,0,0,0,0
